Individual,Marks,Source_pond,Survived?,Survived,Exp_pond,length_yoy_2012,length_yoy_2013,emergence_offspring_2012,activity_offspring_2012,aggression_offspring_2012,foraging_offspring_2012,dim1_global_offspring_2012,dim2_global_offspring_2012,dim3_global_offspring_2012,dim4_global_offspring_2012
1,y1 p5,11,No,0,4,59,NA,0,0,1,1599,2.212153748,-0.692965447,-0.058299328,0.335936187
2,y1 y5,11,No,0,4,61,NA,1676,13,16,1724,-2.644789599,-2.478450999,2.607131825,-0.50686945
3,y1 y2,11,Yes,1,4,57,128,0,30,6,1597,-0.135547187,1.39786457,2.590092779,0.195201364
4,y1 y3,11,No,0,4,60,NA,1127,25,2,1635,-0.143157874,1.588689857,0.652220764,0.065121101
5,y1 p2,11,No,0,4,56,NA,1608,16,3,1660,-0.270801806,0.441984036,0.069720378,-0.146349801
6,y1 p3,11,No,0,4,61,NA,0,30,0,1703,0.02919391,2.270706028,0.775088078,1.6189824
7,y1 y6,11,No,0,4,60,NA,1817,29,0,1696,-0.8649394,2.240699483,-0.235397825,0.365967853
8,y1 p6,11,No,0,4,64,NA,1724,14,4,1609,-0.013833556,0.180431194,0.346847326,-0.790728192
9,y1 y7,11,No,0,4,56,NA,2129,8,2,1759,-0.699722525,-0.407380853,-1.249035563,0.465811817
10,y1 p7,11,No,0,4,59,NA,2506,21,5,1728,-1.83478055,0.426769813,0.008802211,-0.184006979
11,p1 p2,11,No,0,4,59,NA,1848,4,8,1689,-0.761308886,-1.782079462,0.371969968,-0.463530697
12,p1 y2,11,Yes,1,4,64,124,2533,18,2,1721,-1.172245718,0.709518309,-0.815533381,-0.082395598
13,p1 p3,11,Yes,1,4,60,131,8,24,0,1534,1.571504411,2.083483626,1.168192338,-0.037420659
14,p1 y3,11,No,0,4,59,NA,2653,15,1,1698,-0.756443356,0.656137249,-1.165107324,-0.331979332
15,p1 p5,11,No,0,4,58,NA,2596,35,17,1782,-4.888394462,-0.560681588,3.19069362,-0.456808499
16,p1 y5,11,No,0,4,56,NA,0,16,3,1681,0.459367203,0.342385267,0.859035091,1.0965998
17,p1 p6,11,No,0,4,67,NA,0,3,2,1746,0.827730736,-0.943460574,-0.284550427,1.686143468
18,p1 y6,11,No,0,4,59,NA,0,5,5,1689,0.669019634,-1.167815251,0.73883839,0.951253501
19,p1 p7,11,No,0,4,60,NA,2681,13,3,1656,-0.672739522,0.180396809,-0.647330517,-0.903116853
20,p1 y7,11,Yes,1,4,67,129,0,1,2,1581,2.134393269,-0.736538035,0.295283541,0.1029795
21,p2 p3,11,No,0,4,48,NA,2084,6,0,1758,-0.250128934,-0.229834721,-1.779375455,0.609278655
22,p2 p5,11,Yes,1,4,60,125,0,3,5,1610,1.34960116,-1.174105841,0.964637108,0.185427129
23,p2 p6,11,Yes,1,4,54,128,0,6,4,1584,1.536760953,-0.617149141,0.991027976,0.0302436
24,p2 p7,11,Yes,1,4,70,132,2544,14,3,1767,-1.458316204,0.002227757,-0.979958815,0.248220853
25,p2 y3 ,11,Yes,1,4,54,123,64,10,5,1669,0.515822128,-0.610965952,1.034865123,0.757188572
26,p2 y5,11,Yes,1,4,59,154,0,4,0,1537,2.608663663,0.054317842,0.166002199,-0.153880535
27,p2 y6,11,Yes,1,4,65,149,0,2,0,1570,2.473883877,-0.229645661,-0.069268248,0.144732755
28,p2 y7,11,No,0,4,61,NA,866,9,0,1599,1.418078888,0.431579327,-0.312332895,-0.089009431
29,y2 p3,11,No,0,4,55,NA,1433,2,4,1525,1.390256587,-0.832811529,0.254618286,-1.490337147
30,y2 p5,11,No,0,4,65,NA,1862,9,2,1552,0.901135314,0.198999817,-0.201754857,-1.320746977
31,y2 p6,11,No,0,4,54,NA,0,7,3,1769,0.293298876,-0.785457538,0.049377761,1.865372107
32,y2 p7,11,Yes,1,4,52,132,1036,15,3,1607,0.481888626,0.455398993,0.549723448,-0.28641796
33,y2 y3,11,Yes,1,4,60,130,2322,14,1,1602,0.176940024,0.783283123,-0.63934248,-1.037091593
34,y2 y5 ,11,No,0,4,58,NA,0,1,2,1584,2.112553234,-0.743975702,0.282933474,0.131491276
35,y2 y6,11,Yes,1,4,57,124,687,1,4,1629,1.095539018,-1.213778218,0.183066824,-0.025387325
36,y2 y7,11,Yes,1,4,63,125,0,20,2,1561,1.278117797,1.233463457,1.322104578,0.055555396
37,p1 p3 p5,11,No,0,4,58,NA,2133,14,0,1658,0.029120995,0.828132692,-0.996714587,-0.312843034
38,p3 p6,11,No,0,4,58,NA,1256,27,0,1557,0.560521579,2.366578165,0.542939709,-0.606083492
39,p3 p7,11,Yes,1,4,60,137,525,1,2,1482,2.566805436,-0.475575159,0.416904953,-1.178560722
40,p3 y5,11,No,0,4,51,NA,0,3,0,1618,2.071713014,-0.247573757,-0.217159463,0.608429308
41,p3 y6,11,Yes,1,4,56,129,0,4,3,1659,1.252291065,-0.815966814,0.35308398,0.797415917
42,p3 y7,11,Yes,1,4,66,111,1194,10,0,1644,0.857623586,0.430785112,-0.626512712,0.133349208
43,y3 p5,11,No,0,4,57,NA,2431,22,1,1663,-0.748841532,1.443869422,-0.552146341,-0.46801288
44,y3 p6,11,No,0,4,60,NA,1918,28,1,1729,-1.263985035,1.871523113,-0.246193444,0.537160237
45,y3 p7,11,No,0,4,58,NA,864,0,0,1521,2.461590825,-0.284771677,-0.437530596,-0.896591043
