SPECIES,TEETH NUMBER,HEAD WIDTH
T. mel No eat crayfish,32,15
T. mel No eat crayfish,40,14.2
T. mel No eat crayfish,34,11.5
T. mel No eat crayfish,32,9.1
T. mel No eat crayfish,37,13.1
T. mel No eat crayfish,38,12.4
T. mel No eat crayfish,38,12.05
T. mel No eat crayfish,33,11.05
T. mel No eat crayfish,32,11.5
T. mel No eat crayfish,42,11.6
T. mel No eat crayfish,36,12.1
T. mel No eat crayfish,34,12.4
T. mel No eat crayfish,40,9.5
T. mel No eat crayfish,36,7.5
T. mel No eat crayfish,34,12.8
T. mel No eat crayfish,,8.2
T. mel No eat crayfish,27,12.1
T. mel No eat crayfish,,11.1
T. mel No eat crayfish,26,16.05
T. mel No eat crayfish,35,12.8
T. mel No eat crayfish,26,10.3
T. mel No eat crayfish,,16.6
T. mel No eat crayfish,23,13.4
T. mel No eat crayfish,25,9.6
T. mel No eat crayfish,,10.7
T. mel No eat crayfish,,17.1
T. mel No eat crayfish,37,8
T. mel No eat crayfish,35,9
T. mel No eat crayfish,33,8.5
T. mel No eat crayfish,32,11
T. mel No eat crayfish,31,9
T. mel No eat crayfish,28,9.5
T. mel No eat crayfish,32,8.5
T. mel No eat crayfish,31,8
T. mel No eat crayfish,33,8.5
T. mel No eat crayfish,35,10.5
T. mel No eat crayfish,28,11.5
T. mel No eat crayfish,32,9
T. mel No eat crayfish,22,7
T. mel No eat crayfish,40,9
T. mel No eat crayfish,30,8
T. mel No eat crayfish,26,8.5
T. mel No eat crayfish,25,8
T. mel No eat crayfish,32,10.5
T. mel No eat crayfish,35,9
T. mel No eat crayfish,31,13
T. mel No eat crayfish,25,7
T. mel No eat crayfish,28,10
T. mel No eat crayfish,34,7.5
T. mel No eat crayfish,28,7
T. mel No eat crayfish,26,9.5
T. mel No eat crayfish,28,6
T. mel No eat crayfish,30,8
T. mel No eat crayfish,35,11.5
T. mel No eat crayfish,28,8
T. mel No eat crayfish,30,7.5
T. mel No eat crayfish,24,11.1
T. mel No eat crayfish,39,14.5
T. mel No eat crayfish,,14.1
T. mel No eat crayfish,,14.4
T. mel No eat crayfish,,13.05
T. mel No eat crayfish,,12.1
T. mel No eat crayfish,,13.3
T. mel No eat crayfish,42,7.5
T. mel No eat crayfish,38,12.1
T. mel No eat crayfish,38,18.9
T. mel No eat crayfish,32,13.05
T. mel No eat crayfish,28,12.5
T. mel No eat crayfish,34,10.5
T. mel No eat crayfish,42,11.55
T. mel No eat crayfish,38,18.1
T. mel No eat crayfish,36,16.7
T. mel No eat crayfish,31,11.4
T. mel No eat crayfish,36,10.3
T. mel No eat crayfish,40,13
T. mel No eat crayfish,31,18.8
T. mel No eat crayfish,31,16.1
T. mel No eat crayfish,25,15.1
T. mel No eat crayfish,,12.1
T. mel No eat crayfish,31,14.05
T. mel No eat crayfish,27,12.25
T. mel No eat crayfish,27,12
T. mel No eat crayfish,33,8
T. mel No eat crayfish,33,12
T. mel No eat crayfish,28,11.5
T. mel No eat crayfish,26,10.5
T. mel No eat crayfish,30,9
T. mel No eat crayfish,40,15.5
T. mel No eat crayfish,31,11
T. mel No eat crayfish,25,12
T. mel No eat crayfish,28,7
T. mel No eat crayfish,33,9.5
T. mel No eat crayfish,36,9
T. mel No eat crayfish,32,12
T. mel No eat crayfish,36,9.5
T. mel No eat crayfish,36,13
T. mel No eat crayfish,32,6
T. mel No eat crayfish,29,9
T. mel No eat crayfish,38,12
T. mel No eat crayfish,43,12
T. mel No eat crayfish,34,12.5
T. mel No eat crayfish,26,11.3
T. mel No eat crayfish,27,13.1
T. mel eat crayfish,40,
T. mel eat crayfish,28,
T. mel eat crayfish,35,
T. mel eat crayfish,32,12.5
T. mel eat crayfish,36,14.3
T. mel eat crayfish,32,12.7
T. mel eat crayfish,34,12.1
T. mel eat crayfish,34,9.4
T. mel eat crayfish,34,15.1
T. mel eat crayfish,33,12.1
T. mel eat crayfish,34,8.6
T. mel eat crayfish,32,15.6
T. mel eat crayfish,39,6.6
T. mel eat crayfish,32,12.5
T. mel eat crayfish,31,12.4
T. mel eat crayfish,35,12.2
T. mel eat crayfish,30,11.3
T. mel eat crayfish,30,8.4
T. mel eat crayfish,37,14.1
T. mel eat crayfish,34,12.1
T. mel eat crayfish,42,8.4
T. mel eat crayfish,42,12.7
T. mel eat crayfish,39,11.4
T. mel eat crayfish,38,11.6
T. mel eat crayfish,34,11.1
T. mel eat crayfish,36,11
T. mel eat crayfish,42,11.8
T. mel eat crayfish,34,10
T. mel eat crayfish,37,11.6
T. mel eat crayfish,29,7.1
T. mel eat crayfish,28,7.4
T. mel eat crayfish,30,7.2
T. mel eat crayfish,32,10
T. mel eat crayfish,42,7.7
T. mel eat crayfish,34,8.9
T. mel eat crayfish,28,10.7
T. mel eat crayfish,44,8
T. mel eat crayfish,38,5.2
T. mel eat crayfish,35,10.6
T. mel eat crayfish,35,7.2
T. mel eat crayfish,34,7.4
T. mel eat crayfish,28,9.5
T. mel eat crayfish,41,9
T. mel eat crayfish,35,8.2
T. mel eat crayfish,30,10.5
T. mel eat crayfish,30,8.5
T. mel eat crayfish,29,8
T. mel eat crayfish,39,11.3
T. mel eat crayfish,33,7
T. mel eat crayfish,32,10.1
T. mel eat crayfish,36,6.4
T. mel eat crayfish,26,7.6
T. mel eat crayfish,40,8
T. mel eat crayfish,34,8.9
T. mel eat crayfish,35,8.6
T. mel eat crayfish,32,8.7
T. mel eat crayfish,32,8.6
T. mel eat crayfish,34,13.6
T. mel eat crayfish,35,6
T. mel eat crayfish,38,11.2
T. mel eat crayfish,38,13.3
T. mel eat crayfish,39,9.2
T. mel eat crayfish,35,6.6
T. mel eat crayfish,32,11.5
T. mel eat crayfish,34,11
T. mel eat crayfish,32,13.1
