Species,Call type,Latitude,Pond Name,State,Water Temperature (C),Avg. duration (s),Avg. pulse rate (pulses/s),Avg. call rate (calls/min),Avg. dominant frequency (Hz),Call effort (s calling/ min),Mass (g),Distance nearest calling male (m),Total males
SB,Slow,34.11879,Happy River,Texas,18,0.645,54.022,39.227,1501.186,25.298,11.78,0.3,110
SB,Slow,34.11879,Happy River,Texas,18,0.687,52.645,35.581,1704.186,24.444,13.4,,110
SB,Slow,34.11879,Happy River,Texas,18,0.636,50.234,36.689,1639.586,23.319,9.28,0.61,110
SB,Slow,34.11879,Happy River,Texas,18,0.792,49.176,28.916,1661.171,22.889,8.47,0.61,110
SB,Slow,34.11879,Happy River,Texas,18,0.644,54.782,38.047,1519.643,24.49,10.73,,110
SB,Slow,34.11879,Happy River,Texas,18,0.712,49.073,37.539,1316.586,26.709,12.16,,110
SM,,33.8475,Valet,Texas,15.8,1.1,14.405,21.817,1590.386,23.997,6.27,,30
SM,,33.8475,Valet,Texas,15.8,1.224,15.116,22.814,1830.3,27.931,,,30
SM,,33.8475,Valet,Texas,15.8,1.123,14.18,22.833,1522.729,25.636,,,30
SB,Slow,33.8475,Valet,Texas,15.8,0.675,45.658,27.853,1455.043,18.791,,,30
SM,,33.8475,Valet,Texas,15.8,1.25,15.434,23.977,1495.014,29.981,8.01,,30
SB,Slow,33.8475,Valet,Texas,15.8,0.769,41.932,28.884,1576.24,,,,30
SB,Slow,33.8475,Valet,Texas,15.8,0.751,46.711,31.138,1525.786,23.385,,,30
SM,,33.8475,Valet,Texas,15.8,1.239,14.6,23.006,1322.757,28.512,,,30
SB,Slow,33.8475,Valet,Texas,15.8,0.682,47.329,33.869,1488.871,23.09,10.82,,30
SM,,33.8475,Valet,Texas,15.8,1.201,15.002,21.005,1368.929,25.222,10.39,,30
SM,,33.8475,Valet,Texas,15.8,1.125,14.444,21.01,1245.843,23.635,8.62,,30
SB,Slow,33.8475,Valet,Texas,15.8,0.807,46.874,28.458,1325.843,22.973,,,30
SM,,33.8475,Valet,Texas,15.8,1.121,14.798,24.76,1421.2,27.752,,,30
SB,Slow,33.8475,Valet,Texas,15.8,0.759,44.77,25.053,1439.657,19.02,11.81,,30
SB,Slow,33.873611,Iceberg,Texas,14.9,0.794,45.688,28.664,1584.243,22.747,11.36,,100
SM,,33.873611,Iceberg,Texas,14.9,1.385,14.444,20.172,1362.743,27.934,10.55,,100
SM,,33.873611,Iceberg,Texas,14.9,1.248,15.095,24.452,1310.457,30.514,10.44,,100
SB,Slow,33.873611,Iceberg,Texas,14.9,0.681,47.605,25.76,1495.043,17.539,8.59,,100
SB,Slow,33.873611,Iceberg,Texas,14.9,0.814,44.514,25.456,1433.514,20.731,,,100
SB,Slow,33.873611,Iceberg,Texas,14.9,0.619,45.228,26.246,1679.629,16.244,7.78,,100
SM,,33.873611,Iceberg,Texas,14.9,1.397,13.549,21.184,1313.5,29.594,9.05,,100
SB,Slow,33.873611,Iceberg,Texas,14.9,0.711,44.222,24.019,1421.2,17.083,13.25,,100
SM,,33.873611,Iceberg,Texas,14.9,1.482,12.374,16.724,1393.529,24.777,7.38,,100
SB,Slow,33.873611,Iceberg,Texas,14.9,0.944,44.304,24.876,1605.771,23.492,8.72,,100
SB,Slow,33.873611,Iceberg,Texas,14.9,0.925,40.799,21.759,1424.286,20.134,,,100
SM,,33.873611,Iceberg,Texas,14.9,1.481,12.151,16.484,1365.814,24.414,9.7,,100
SB,Slow,33.873611,Iceberg,Texas,14.9,0.758,40.046,26.955,1593.486,20.423,10.01,,100
SB,Slow,33.873611,Iceberg,Texas,14.9,0.799,43.73,26.079,1645.771,20.824,9.42,,100
SB,Slow,35.916944,Nice Guy,Texas,12.2,1.122,36.233,24.437,1424.271,27.42,13.32,,15
SB,Slow,35.916944,Nice Guy,Texas,12.2,1.018,35.436,21.135,1538.086,21.522,15,,16
SB,Slow,35.916944,Nice Guy,Texas,12.2,0.887,44.259,25.683,1581.157,22.777,,,2
SB,Slow,35.921667,Windy City,Texas,13.6,1.05,43.118,23.388,1547.329,24.567,13.93,,30
SB,Slow,35.921667,Windy City,Texas,13.6,1.055,42.112,25.77,1464.3,27.181,12.09,,30
SB,Slow,35.921667,Windy City,Texas,13.6,0.915,45.792,25.416,1451.957,23.264,18.13,,30
SB,Slow,35.921667,Windy City,Texas,13.6,0.836,43.089,26.132,1498.114,21.848,,,30
SB,Slow,35.921667,Windy City,Texas,13.6,0.986,38.179,24.925,1375.071,24.584,10.98,,30
SB,Slow,35.921667,Windy City,Texas,13.6,0.844,36.921,24.86,1436.571,20.986,,,30
SM,,35.921667,Windy City,Texas,13.6,1.342,13.663,19.38,1259.7,26.015,,,30
SB,Slow,35.921667,Windy City,Texas,13.6,0.887,43.401,27.127,1553.471,24.066,16.69,,30
SB,Slow,36.022778,Noisy,Texas,16.8,0.778,43.671,30.095,1464.257,23.424,10.41,,110
SB,Slow,36.022778,Noisy,Texas,16.8,0.676,47.117,29.773,1547.314,20.119,11.01,,110
SB,Slow,36.022778,Noisy,Texas,16.8,0.669,45.751,33.152,1691.9,22.165,10.78,,110
SM,,36.022778,Noisy,Texas,16.8,1.249,14.084,21.146,1418.129,26.405,8.3,,110
SM,,36.022778,Noisy,Texas,16.8,1.267,15.063,24.981,1498.086,31.657,9.1,,110
SM,,36.022778,Noisy,Texas,16.8,1.067,14.764,21.08,1301.214,22.482,12.42,,110
SB,Slow,36.022778,Noisy,Texas,16.8,0.711,42.797,29.774,1531.957,21.165,9.63,,110
SB,Slow,36.022778,Noisy,Texas,16.8,0.981,39.247,31.128,1375.043,30.529,18.44,,110
SB,Slow,36.022778,Noisy,Texas,16.8,0.728,43.966,27.764,1653.78,20.212,,,110
SB,Slow,36.0225,Mother Load,Texas,11.7,1.14,34.494,18.726,1528.85,21.353,,,200
SB,Slow,36.0225,Mother Load,Texas,11.7,1.126,34.474,19.968,1501.157,22.49,,,200
SB,Slow,36.0225,Mother Load,Texas,11.7,1,35.752,24.073,1430.414,24.067,,0.91,200
SB,Slow,36.0225,Mother Load,Texas,11.7,0.957,31.349,21.203,1368.886,20.298,19.31,,200
SB,Slow,36.0225,Mother Load,Texas,11.7,0.892,34.099,18.402,1587.329,16.415,14.42,,200
SB,Slow,36.0225,Mother Load,Texas,11.7,0.991,32.534,18.733,1307.371,18.571,15.08,,200
SB,Slow,36.0225,Mother Load,Texas,11.7,1.194,31.947,16.343,1525.786,19.517,16.72,,200
SB,Slow,36.0225,Mother Load,Texas,11.7,1.122,32.592,17.579,1571.914,19.731,10.74,,200
SB,Slow,36.0225,Mother Load,Texas,11.7,1.139,31.325,18.354,1252.014,20.901,16.42,,200
SB,Slow,36.0225,Mother Load,Texas,11.7,1.074,34.57,17.964,1565.771,19.29,,,200
SB,Slow,36.0225,Mother Load,Texas,11.7,0.892,35.316,27.511,1496.55,24.54,,,200
SM,,36.0225,Mother Load,Texas,11.7,1.832,9.417,14.309,1396.571,26.211,10.08,1.83,200
SM,,36.0225,Mother Load,Texas,11.7,1.779,9.887,16.305,1399.686,28.998,12.18,1.83,200
SM,,35.18107,Conjunction Junction,Texas,16.2,1.048,15.11,27.932,1544.257,29.266,,,40
SM,,35.18107,Conjunction Junction,Texas,16.2,1.069,16.217,27.786,1485.8,29.708,,,40
SM,,35.18107,Conjunction Junction,Texas,16.2,1.148,16.053,23.455,1433.486,26.93,,,40
SM,,35.18107,Conjunction Junction,Texas,16.2,1.186,15.85,26.743,1373.8,31.723,,,40
SM,,35.18107,Conjunction Junction,Texas,16.2,1.325,15.664,22.967,1310.443,30.426,10.13,,40
SM,,35.18107,Conjunction Junction,Texas,16.2,1.238,15.956,22.634,1541.171,28.015,9.63,,40
SB,Slow,35.18107,Conjunction Junction,Texas,16.2,0.645,48.671,27.885,1538.114,17.986,,,40
SB,Slow,34.929024,Perfectly Legal,Texas,17.8,0.747,52.677,27.754,1559.614,20.721,11.18,,3
SB,Slow,34.929024,Perfectly Legal,Texas,17.8,0.636,57.168,32.014,1602.7,20.347,14.42,,3
SB,Slow,34.648476,Mudslide,Texas,22.1,0.563,75.63,40.558,1614.986,22.844,17.78,,30
SB,Slow,34.648476,Mudslide,Texas,22.1,0.578,71.811,43.74,1651.9,25.267,6.72,,30
SB,Slow,34.648476,Mudslide,Texas,22.1,0.458,74.253,46.322,1535.029,21.204,9.46,,30
SB,Slow,34.648476,Mudslide,Texas,22.1,0.51,72.119,47.221,1451.957,24.067,,,30
SB,Slow,34.648476,Mudslide,Texas,22.1,0.448,77.377,42.596,1728.814,19.087,,,30
SB,Slow,34.648476,Mudslide,Texas,22.1,0.406,76.531,50.119,1276.629,20.365,,,30
SB,Slow,34.648476,Mudslide,Texas,22.1,0.537,76.191,40.444,1461.171,21.715,,0.61,30
SB,Slow,34.648476,Mudslide,Texas,22.1,0.544,77.027,44.555,1427.357,24.241,8.71,0.61,30
SB,Slow,38.484498,AAA,Colorado,6.8,1.23,24.582,15.283,1414.017,18.798,13.84,6.1,110
SB,Slow,38.484498,AAA,Colorado,6.8,1.601,24.989,14.585,1382.44,23.347,17.96,6.1,110
SB,Slow,38.484498,AAA,Colorado,6.8,1.463,24.043,15.192,1322.757,22.224,14.24,3.05,110
SB,Slow,38.484498,AAA,Colorado,6.8,1.519,25.647,18.623,1410.45,,17.04,,110
SB,Slow,38.484498,AAA,Colorado,6.8,1.798,24.195,14.182,1363.767,25.494,,,110
SB,Slow,38.484498,AAA,Colorado,6.8,1.697,23.033,14.577,1353.017,24.732,15.67,6.1,110
SB,Slow,38.484498,AAA,Colorado,6.8,1.483,25.316,13.783,1292,20.443,21.53,6.1,110
SB,Slow,38.484498,AAA,Colorado,6.8,1.74,22.741,13.491,1392.5,23.47,20.51,3.05,110
