Species,Mass (g),Call effort (s calling/ min),Latitude,Pond Name
SB,11.78,25.298,34.11879,Happy River
SB,13.4,24.444,34.11879,Happy River
SB,9.28,23.319,34.11879,Happy River
SB,8.47,22.889,34.11879,Happy River
SB,10.73,24.49,34.11879,Happy River
SB,12.16,26.709,34.11879,Happy River
SM,6.27,23.997,33.8475,Valet
SM,,27.931,33.8475,Valet
SM,,25.636,33.8475,Valet
SB,,18.791,33.8475,Valet
SM,8.01,29.981,33.8475,Valet
SB,,,33.8475,Valet
SB,,23.385,33.8475,Valet
SM,,28.512,33.8475,Valet
SB,10.82,23.09,33.8475,Valet
SM,10.39,25.222,33.8475,Valet
SM,8.62,23.635,33.8475,Valet
SB,,22.973,33.8475,Valet
SM,,27.752,33.8475,Valet
SB,11.81,19.02,33.8475,Valet
SB,11.36,22.747,33.873611,Iceberg
SM,10.55,27.934,33.873611,Iceberg
SM,10.44,30.514,33.873611,Iceberg
SB,8.59,17.539,33.873611,Iceberg
SB,,20.731,33.873611,Iceberg
SB,7.78,16.244,33.873611,Iceberg
SM,9.05,29.594,33.873611,Iceberg
SB,13.25,17.083,33.873611,Iceberg
SM,7.38,24.777,33.873611,Iceberg
SB,8.72,23.492,33.873611,Iceberg
SB,,20.134,33.873611,Iceberg
SM,9.7,24.414,33.873611,Iceberg
SB,10.01,20.423,33.873611,Iceberg
SB,9.42,20.824,33.873611,Iceberg
SB,13.32,27.42,35.916944,Nice Guy
SB,15,21.522,35.916944,Nice Guy
SB,,22.777,35.916944,Nice Guy
SB,13.93,24.567,35.921667,Windy City
SB,12.09,27.181,35.921667,Windy City
SB,18.13,23.264,35.921667,Windy City
SB,,21.848,35.921667,Windy City
SB,10.98,24.584,35.921667,Windy City
SB,,20.986,35.921667,Windy City
SM,,26.015,35.921667,Windy City
SB,16.69,24.066,35.921667,Windy City
SB,10.41,23.424,36.022778,Noisy
SB,11.01,20.119,36.022778,Noisy
SB,10.78,22.165,36.022778,Noisy
SM,8.3,26.405,36.022778,Noisy
SM,9.1,31.657,36.022778,Noisy
SM,12.42,22.482,36.022778,Noisy
SB,9.63,21.165,36.022778,Noisy
SB,18.44,30.529,36.022778,Noisy
SB,,20.212,36.022778,Noisy
SB,,21.353,36.0225,Mother Load
SB,,22.49,36.0225,Mother Load
SB,,24.067,36.0225,Mother Load
SB,19.31,20.298,36.0225,Mother Load
SB,14.42,16.415,36.0225,Mother Load
SB,15.08,18.571,36.0225,Mother Load
SB,16.72,19.517,36.0225,Mother Load
SB,10.74,19.731,36.0225,Mother Load
SB,16.42,20.901,36.0225,Mother Load
SB,,19.29,36.0225,Mother Load
SB,,24.54,36.0225,Mother Load
SM,10.08,26.211,36.0225,Mother Load
SM,12.18,28.998,36.0225,Mother Load
SM,,29.266,35.18107,Conjunction Junction
SM,,29.708,35.18107,Conjunction Junction
SM,,26.93,35.18107,Conjunction Junction
SM,,31.723,35.18107,Conjunction Junction
SM,10.13,30.426,35.18107,Conjunction Junction
SM,9.63,28.015,35.18107,Conjunction Junction
SB,,17.986,35.18107,Conjunction Junction
SB,11.18,20.721,34.929024,Perfectly Legal
SB,14.42,20.347,34.929024,Perfectly Legal
SB,17.78,22.844,34.648476,Mudslide
SB,6.72,25.267,34.648476,Mudslide
SB,9.46,21.204,34.648476,Mudslide
SB,,24.067,34.648476,Mudslide
SB,,19.087,34.648476,Mudslide
SB,,20.365,34.648476,Mudslide
SB,,21.715,34.648476,Mudslide
SB,8.71,24.241,34.648476,Mudslide
SB,13.84,18.798,38.484498,AAA
SB,17.96,23.347,38.484498,AAA
